order_num,orderentry_num,productgroup,created_date,orderentry_revenue,user_id,customer_type,order_status,nettotalprice
180227-31097528,1,IM,2/27/2018,110.25,0351b,REGISTERED,COMPLETED,100.2300034
180227-31090394,0,IM,2/27/2018,1388.75,3553,REGISTERED,COMPLETED,1262.5
180227-31090394,1,IM,2/27/2018,110.25,3553,REGISTERED,COMPLETED,100.2300034
180114-30980090,0,IM,1/14/2018,49,035c6,REGISTERED,COMPLETED,44.54999924
180410-31237707,0,IM,4/10/2018,89,036dd,REGISTERED,COMPLETED,80.91000366
180314-31176218,1,IM,3/14/2018,971.9199829,036ee,REGISTERED,COMPLETED,883.5599976
180314-31176218,2,IM,3/14/2018,102.0800018,036ee,REGISTERED,COMPLETED,92.80000305
180314-31176218,0,IM,3/14/2018,59,036ee,REGISTERED,COMPLETED,53.63999939
180312-31165349,0,IM,3/12/2018,109.3499985,3782,REGISTERED,COMPLETED,99.41000366
180312-31165349,1,IM,3/12/2018,1239.650024,3782,REGISTERED,COMPLETED,1126.949951
180312-31165349,2,ETC,3/12/2018,119.9499969,3782,REGISTERED,COMPLETED,109.0500031
180303-31136214,0,IM,3/3/2018,109.3499985,3846,REGISTERED,COMPLETED,99.41000366
180303-31136214,1,IM,3/3/2018,1239.650024,3846,REGISTERED,COMPLETED,1126.949951
180313-31172904,1,IM,4/3/2018,89,039bb,REGISTERED,COMPLETED,80.91000366
180313-31172904,0,IM,4/3/2018,1349,039bb,REGISTERED,COMPLETED,1226.359985
180317-31182536,0,IM,3/17/2018,1349,03b70,REGISTERED,COMPLETED,1226.359985
180308-31156257,0,IM,3/8/2018,79,03bbb,REGISTERED,COMPLETED,71.81999969
180122-30992562,0,IM,1/22/2018,79,03bfe,REGISTERED,COMPLETED,71.81999969
180520-31312971,0,IM,5/20/2018,1074,03c09,REGISTERED,COMPLETED,976.3599854
180315-31183258,1,IM,3/15/2018,1239.650024,03c68,REGISTERED,COMPLETED,1126.949951
180315-31183258,0,IM,3/15/2018,109.3499985,03c68,REGISTERED,COMPLETED,99.41000366
180331-31221393,0,IM,3/31/2018,876.8499756,03ccb,REGISTERED,COMPLETED,797.1400146
180314-31173240,1,IM,3/14/2018,1090.73999,03d90,REGISTERED,COMPLETED,991.5800171
180314-31173240,0,IM,3/14/2018,108.2600021,03d90,REGISTERED,COMPLETED,98.41999817
180526-31328201,0,IM,5/26/2018,1499,03d97,REGISTERED,COMPLETED,1362.72998
180526-31328201,2,IM,5/26/2018,598.9899902,03d97,REGISTERED,COMPLETED,544.539978
180526-31328201,1,IM,5/26/2018,119,03d97,REGISTERED,COMPLETED,108.1800003
180228-31119866,1,IM,2/28/2018,1388.75,03dde,REGISTERED,COMPLETED,1262.5
180228-31119866,0,IM,2/28/2018,110.25,03dde,REGISTERED,COMPLETED,100.2300034
180122-30991635,0,IM,1/22/2018,99,3.00E+71,REGISTERED,COMPLETED,90
180612-31385940,0,CE,6/12/2018,89,3.00E+93,REGISTERED,COMPLETED,80.91000366
180531-31355914,1,ETC,5/31/2018,5.139999866,03ef7,REGISTERED,COMPLETED,4.670000076
180531-31355914,0,ETC,5/31/2018,14.71000004,03ef7,REGISTERED,COMPLETED,13.36999989
180607-31361273,0,IM,6/7/2018,1349.099976,03f72,REGISTERED,COMPLETED,1226.449951
180607-31361273,1,IM,6/7/2018,98.09999847,03f72,REGISTERED,COMPLETED,89.18000031
180304-31137475,0,IM,3/4/2018,1349,03f94,REGISTERED,COMPLETED,1226.359985
180422-31260353,0,IM,4/22/2018,876.8499756,4017,REGISTERED,COMPLETED,797.1400146
180306-31145340,1,IM,3/6/2018,1090.73999,040d9,REGISTERED,COMPLETED,991.5800171
180306-31145340,0,IM,3/6/2018,108.2600021,040d9,REGISTERED,COMPLETED,98.41999817
180313-31167561,1,IM,3/13/2018,1199,4115,GUEST,COMPLETED,1090
180313-31167561,0,IM,3/13/2018,65,4115,GUEST,COMPLETED,59.09000015
180623-31410453,0,IM,6/23/2018,649,4154,REGISTERED,COMPLETED,590
180419-31255954,0,IM,4/19/2018,48.99000168,4.10E+04,REGISTERED,COMPLETED,44.54000092
180302-31122589,0,IM,3/2/2018,108.2600021,041f6,REGISTERED,COMPLETED,98.41999817
180302-31122589,1,IM,3/2/2018,1090.73999,041f6,REGISTERED,COMPLETED,991.5800171
171227-30951585,0,VD,1/1/2018,179,0428c,REGISTERED,COMPLETED,162.7299957
180302-31122766,1,IM,3/2/2018,1239.650024,4315,REGISTERED,COMPLETED,1126.949951
180302-31122766,0,IM,3/2/2018,109.3499985,4315,REGISTERED,COMPLETED,99.41000366
180227-31102883,1,IM,2/27/2018,1388.75,4321,REGISTERED,COMPLETED,1262.5
180227-31102883,0,IM,2/27/2018,110.25,4321,REGISTERED,COMPLETED,100.2300034
180313-31170668,0,ETC,3/13/2018,119.9499969,4346,REGISTERED,COMPLETED,109.0500031
180227-31099124,0,IM,2/28/2018,108.4599991,4668,REGISTERED,COMPLETED,98.59999847
180227-31099124,1,IM,2/28/2018,1115.540039,4668,REGISTERED,COMPLETED,1014.130005
180218-31065954,0,IM,2/18/2018,85,046eb,REGISTERED,COMPLETED,77.26999664
180513-31289577,1,IM,5/13/2018,1199,4774,REGISTERED,COMPLETED,1090
