,user_id,Recency_x,Frequency_x,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMClass,max_created_date,min_created_date,new_max_date,new_min_date
9005,fk.ka,2504,2,2568.66997499,4,1,1,411,3/2/2018,3/13/2018,2018-03-02,2018-03-13
9006,fkhal,2507,1,1090.00001527,4,4,2,442,2/27/2018,2/27/2018,2018-02-27,2018-02-27
9007,flami,2525,1,271.8200073,4,4,3,443,2/9/2018,2/9/2018,2018-02-09,2018-02-09
9008,flex5,2534,1,15.44999981,4,4,4,444,1/31/2018,1/31/2018,2018-01-31,2018-01-31
9009,flora,2483,1,2577.27002,2,4,1,241,3/23/2018,3/23/2018,2018-03-23,2018-03-23
9010,flore,2441,5,3789.3300858499997,2,1,1,211,5/4/2018,1/4/2018,2018-05-04,2018-01-04
9011,florr,2461,1,362.9100037,2,4,3,243,4/14/2018,4/14/2018,2018-04-14,2018-04-14
9012,floyd,2506,2,862.269989,4,1,3,413,2/28/2018,1/4/2018,2018-02-28,2018-01-04
9013,fluxi,2461,1,217.4499969,2,4,4,244,4/14/2018,4/14/2018,2018-04-14,2018-04-14
9014,flyin,2503,1,499.0899963,3,4,3,343,3/3/2018,3/3/2018,2018-03-03,2018-03-03
9015,fnagh,2486,1,981.0900269,2,4,3,243,3/20/2018,3/20/2018,2018-03-20,2018-03-20
9016,focus,2504,1,1285.44995481,4,4,2,442,3/2/2018,3/2/2018,2018-03-02,2018-03-02
9017,foody,2463,1,59.09000015,2,4,4,244,4/12/2018,4/12/2018,2018-04-12,2018-04-12
9018,forev,2476,1,1156.90998031,2,4,2,242,3/30/2018,3/30/2018,2018-03-30,2018-03-30
9019,formf,2491,4,3188.5199891599996,2,1,1,211,3/15/2018,3/12/2018,2018-03-15,2018-03-12
9020,fotim,2494,1,1103.72000122,3,4,2,342,3/12/2018,3/12/2018,2018-03-12,2018-03-12
9021,fpet4,2492,1,1103.72000122,3,4,2,342,3/14/2018,3/14/2018,2018-03-14,2018-03-14
9022,fpvgs,2387,1,80.91000366,1,4,4,144,6/27/2018,6/27/2018,2018-06-27,2018-06-27
9023,fran0,2463,1,285.5499878,2,4,3,243,4/12/2018,4/12/2018,2018-04-12,2018-04-12
9024,franc,2414,13,13934.110088353,1,1,1,111,5/31/2018,2/27/2018,2018-05-31,2018-02-27
